Time_us,Front_Right_Angle_Deg,Front_Left_Angle_Deg,Rear_Right_Travel,Rear_Left_Travel,Steering_Angle_Deg,TPS_Percent,Coolant_Temp_F,RPM,DD8_Volts,ax_g,ay_g,az_g,Accel_Seq,Accel_Age_us
7166501,129.6188,165.1026,45.5523,55.5230,68.0938,2.82,139.89,4180,0.0482,-0.18200,0.17800,1.88400,831,8358
7171501,185.9238,93.5484,45.6501,55.4252,64.5748,2.43,136.21,4167,0.9640,0.93700,0.15800,0.22500,833,3532
7176501,186.8035,93.2551,45.5523,55.5230,64.2229,1.85,136.74,4272,0.9479,0.98300,0.10700,-0.23900,834,3444
7181501,185.3372,94.1349,45.6501,55.5230,64.2229,2.14,135.16,4272,1.0090,0.09300,0.10300,1.31100,835,3532
7186501,186.2170,93.8416,45.6501,55.4252,64.2229,2.04,137.79,4167,1.0475,-0.26400,0.15400,2.20500,836,1845
7191501,185.3372,93.8416,45.6501,55.4252,64.2229,10.71,137.79,4377,1.0186,-0.35500,-0.28400,2.26000,837,3271
7196501,186.5103,93.5484,45.5523,55.4252,63.8710,1.66,134.11,4206,0.9511,0.68300,0.16700,0.69300,838,3532
7201501,186.2170,93.5484,45.7478,55.3275,64.2229,1.85,137.53,4141,0.9479,0.98400,0.04900,-0.33500,839,3532
7241517,185.9238,95.6012,45.6501,55.4252,64.5748,5.26,132.01,4509,0.9383,0.01500,-0.05800,1.71800,842,3
7246517,186.8035,93.8416,45.4545,55.4252,63.8710,3.80,132.79,4482,0.9961,0.01500,-0.05800,1.71800,842,5003
7251517,186.5103,94.7214,45.6501,55.4252,63.8710,5.36,145.68,4943,1.2210,1.02700,0.08700,-0.21600,849,3461
7256517,186.5103,93.8416,45.5523,55.4252,64.5748,4.09,131.48,4772,0.9736,0.62200,0.23700,0.60800,850,3548
7261517,186.2170,94.1349,45.5523,55.3275,64.2229,3.12,132.01,4548,0.9736,-0.43400,-0.03200,2.12500,851,2072
7266517,186.5103,94.1349,45.5523,55.3275,63.8710,4.67,130.43,4522,0.9800,-0.01100,0.00700,1.78200,852,3634
7271517,185.6305,93.5484,45.7478,55.5230,63.8710,4.28,130.17,4574,0.9768,1.00500,0.14900,0.01200,853,3547
7276517,186.2170,94.4282,45.2590,55.5230,63.8710,26.10,134.37,4719,1.1214,0.91800,0.06900,-0.11500,854,3548
7281517,186.5103,94.1349,45.7478,55.5230,64.2229,3.60,132.01,4496,0.9704,0.85300,0.20500,0.09600,855,2044
7286517,185.9238,93.8416,45.5523,55.4252,63.8710,4.28,130.17,4614,1.0218,-0.18600,0.13500,1.59000,856,3373
7291517,187.3900,94.4282,45.6501,55.4252,64.2229,5.06,130.69,4417,0.9961,-0.09200,0.03100,2.17300,857,3547
7296517,186.5103,93.8416,45.6501,55.3275,64.5748,3.60,128.85,4482,1.0154,0.35300,-0.05500,0.69000,858,3547
7301517,187.3900,94.1349,45.6501,55.4252,63.5191,4.67,132.01,4390,0.9800,0.95600,0.12700,-0.07900,859,2035
7306517,187.6833,93.5484,45.6501,55.4252,63.5191,3.60,130.95,4535,0.9929,0.86200,0.14200,0.31200,860,3547
7311517,186.2170,93.5484,45.6501,55.2297,63.8710,7.89,132.01,4588,1.0090,-0.30100,0.06100,1.83400,861,3460
7316517,186.5103,94.1349,45.4545,55.5230,63.8710,3.89,129.11,4509,0.9640,-0.09200,-0.00800,2.04000,862,3547
7321517,185.6305,93.5484,45.6501,55.4252,63.5191,3.51,129.90,4390,0.9993,0.36700,-0.05500,0.58700,863,2021
7326517,185.9238,93.5484,45.6501,55.5230,64.2229,4.48,128.33,4469,1.0025,0.74800,0.27700,0.46300,864,3547
7331517,185.9238,94.1349,45.6501,55.5230,63.5191,4.09,133.32,4719,0.9736,1.33500,0.12500,-0.47500,865,3373
7336517,186.2170,94.4282,45.6501,55.4252,63.1672,3.89,129.90,4443,0.9543,0.19700,0.14300,1.10000,866,3460
7341517,186.8035,93.5484,45.7478,55.3275,63.1672,4.97,130.95,4482,0.9640,-0.08700,0.08200,2.10100,867,2006
7346517,186.5103,94.4282,45.6501,55.4252,63.5191,4.19,130.17,4522,0.9800,-0.38600,-0.19700,1.75700,868,3286
7351517,186.2170,94.1349,45.8456,55.4252,63.8710,4.77,129.64,4509,1.0218,0.75900,0.23000,0.36200,869,3547
7356517,186.8035,94.1349,45.5523,55.5230,63.8710,5.26,130.17,4509,0.9961,1.14800,0.03800,-0.37000,870,3460
7394204,186.5103,92.9619,45.7478,55.4252,63.8710,5.36,131.48,4509,0.9608,-0.33600,-0.02500,2.03900,873,0
7399204,186.5103,93.8416,45.6501,55.4252,63.8710,3.31,131.74,4404,1.0411,-0.33600,-0.02500,2.03900,873,5000
7404204,186.2170,93.8416,45.4545,55.5230,63.5191,5.45,131.22,4509,1.0122,-0.17900,0.03800,0.92100,880,1234
7409204,186.2170,93.8416,45.5523,55.4252,64.2229,3.60,132.79,4535,0.9768,0.29800,0.22800,0.72700,881,1234
7414204,184.7507,93.8416,45.5523,55.3275,63.8710,4.38,130.69,4574,0.9672,0.77600,-0.08800,-0.20300,882,1147
7419204,186.5103,94.4282,45.7478,55.4252,64.5748,4.38,130.17,4522,0.9672,1.31600,0.31600,0.15200,883,1147
7424204,186.5103,94.1349,45.6501,55.4252,63.8710,4.28,128.85,4482,0.9640,0.51500,-0.00600,1.04900,884,1234
7429204,186.8035,93.8416,45.5523,55.4252,63.8710,3.80,131.74,4390,0.9929,-0.49300,0.03600,2.45400,885,1147
7434204,186.2170,93.5484,45.7478,55.4252,64.5748,4.67,130.17,4390,0.9833,-0.21100,0.20600,1.75600,886,1060
7439204,186.8035,93.8416,45.8456,55.2297,63.8710,5.16,129.38,4482,0.9865,0.00100,-0.22500,0.41700,887,1321
7444204,186.8035,94.4282,45.6501,55.6207,64.5748,3.99,129.90,4469,0.9608,1.39800,0.24700,-0.22600,888,1060
7449204,186.5103,93.2551,45.6501,55.3275,64.2229,9.44,131.22,4548,0.9897,1.16900,0.01200,0.09900,889,1321
7454204,187.0968,93.2551,45.6501,55.4252,63.5191,3.60,130.69,4417,0.9608,1.22200,0.26200,0.33300,890,1147
7459204,186.5103,94.1349,45.6501,55.5230,64.2229,5.06,131.22,4430,0.9704,0.29000,-0.25300,1.46100,891,1060
7464204,186.5103,94.4282,45.6501,55.4252,63.8710,3.99,131.48,4430,1.0154,-0.55900,0.09500,2.38700,892,1147
7469204,186.8035,93.8416,45.6501,55.3275,64.2229,3.51,129.64,4443,1.0057,-0.42600,0.28100,1.82300,893,1060
7474204,186.5103,93.8416,45.6501,55.4252,63.8710,4.19,133.85,4338,0.9640,0.07600,-0.07700,0.52000,894,1321
7479204,186.5103,94.1349,45.6501,55.3275,64.2229,4.38,129.90,4456,0.9543,1.32000,0.24100,-0.34200,895,1060
7484204,187.3900,94.1349,45.6501,55.4252,63.8710,16.16,131.48,4837,1.0604,1.18700,-0.11300,0.02100,896,1146
7489204,186.5103,93.8416,45.5523,55.5230,63.8710,3.60,127.54,4693,0.9833,0.58100,0.09500,1.14100,897,1234
