Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
IC1,VOM1271T,VOM1271T_FP,87.0375,-56.975,90,top
IC2,VOM1271T,VOM1271T_FP,113.45,-54.89,90,top
IC3,VOM1271T,VOM1271T_FP,89.775,-95.07,90,top
IC4,VOM1271T,VOM1271T_FP,163.7875,-95.4,90,top
IC5,VOM1271T,VOM1271T_FP,117.875,-94.505,90,top
IC6,VOM1271T,VOM1271T_FP,184.425,-54.355,90,top
IC7,VOM1271T,VOM1271T_FP,160.65,-54.05,90,top
IC8,VOM1271T,VOM1271T_FP,137.5875,-54.85,90,top
Q1,BUK7J1R4-40HX,BUK7J1R440HX_FP,99.3,-55.8,-180,top
Q2,BUK7J1R4-40HX,BUK7J1R440HX_FP,123.8125,-53.715,-180,top
Q3,BUK7J1R4-40HX,BUK7J1R440HX_FP,98.7125,-93.795,-180,top
Q4,BUK7J1R4-40HX,BUK7J1R440HX_FP,175.7375,-97.6,-180,top
Q5,BUK7J1R4-40HX,BUK7J1R440HX_FP,127.3375,-93.1,-180,top
Q6,BUK7J1R4-40HX,BUK7J1R440HX_FP,200.4625,-52.95,0,top
Q7,BUK7J1R4-40HX,BUK7J1R440HX_FP,172.6625,-53.05,0,top
Q8,BUK7J1R4-40HX,BUK7J1R440HX_FP,147.4,-53.7,-180,top
R1,10k,R_0603_1608Metric,87.2125,-50.475,180,top
R2,470,R_0603_1608Metric,88.3,-63.2,-90,top
R3,10k,R_0603_1608Metric,113.4,-48.365,180,top
R4,470,R_0603_1608Metric,114.75,-61.2,-90,top
R5,10k,R_0603_1608Metric,89.9,-88.37,180,top
R6,470,R_0603_1608Metric,89.9,-101.995,180,top
R7,10k,R_0603_1608Metric,163.7875,-88.4,180,top
R8,470,R_0603_1608Metric,157.4875,-100.8,180,top
R9,10k,R_0603_1608Metric,117.8,-87.905,180,top
R10,470,R_0603_1608Metric,119.15,-100.9,-90,top
R11,470,R_0603_1608Metric,113.4,-98.4,90,top
R12,10k,R_0603_1608Metric,184.3,-47.73,180,top
R13,470,R_0603_1608Metric,179.425,-54.355,-90,top
R14,470,R_0603_1608Metric,189.425,-54.355,90,top
R15,10k,R_0603_1608Metric,160.65,-47.55,180,top
R16,470,R_0603_1608Metric,161.925,-62.05,-90,top
R17,10k,R_0603_1608Metric,137.6375,-48.2,180,top
R18,470,R_0603_1608Metric,138.85,-61.2,-90,top
